"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00076410","1894-04-01","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  189",",,6","  111",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-02","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  133",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-03","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"   89",",,6","  -61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-04","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  165",",,6,",,,,,"  117",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-05","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  156",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-06","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"   83",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-07","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"   78",",,6","  -22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-08","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  104",",,6,",,,,,"   78",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-09","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  117",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-10","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"   61",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6"
"USC00076410","1894-04-11","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  531",",,6,",,,,,"   22",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
